OBJECTID,Shape,INCKEY,COLDETKEY,ADDRTYPE,COLLISIONTYPE,DIAGRAMLINK,DISTANCE,EXCEPTRSNCODE,EXCEPTRSNDESC,FATALITIES,INATTENTIONIND,INCDATE,INCDTTM,INJURIES,INTKEY,JUNCTIONTYPE,LIGHTCOND,LOCATION,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,REPORTLINK,REPORTNO,ROADCOND,SDOT_COLCODE,SDOT_COLDESC,SDOTCOLNUM,SEGKEY,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,ST_COLCODE,ST_COLDESC,STATUS,UNDERINFL,VEHCOUNT,WEATHER,WIDTH,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,SPDCASENO
577,"""(47.601297429000056, -122.33159812799994)""",111585,111585,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\44183300.bmp,180,,,0,,09/22/2010 07:00:00 AM +0000,9/22/2010 17:10,0,,Mid-Block (not related to intersection),Daylight,2ND AV ET S BETWEEN S WASHINGTON ST AND YESLER WAY,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3373659.pdf,3373659,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10265018,2926,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,0,N,10 332359
610,"""(47.661357277000036, -122.32775751099996)""",111852,111852,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33517500.bmp,124.5,,,0,,04/15/2010 07:00:00 AM +0000,4/15/2010 20:18,1,,Driveway Junction,Dark - Street Lights On,NE 45TH ST BETWEEN 1ST AVE NE AND 2ND AVE NE,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3284671.pdf,3284671,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10105002,16838,0,2,Injury Collision,Y,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,6532,0,N,10-122866
657,"""(47.69388393000003, -122.29873112299998)""",110508,110508,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77181100.bmp,0,,,0,,12/15/2010 08:00:00 AM +0000,12/15/2010 7:31,1,37659,At Intersection (intersection related),Daylight,27TH AVE NE AND NE 90TH ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3561680.pdf,3561680,Wet,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10349033,4023,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,0,N,2010-430923
677,"""(47.60616745200008, -122.30633165599994)""",111457,111457,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33515500.bmp,0,,,0,,05/19/2010 07:00:00 AM +0000,5/19/2010 15:21,1,30190,At Intersection (intersection related),Daylight,20TH AVE AND E JEFFERSON ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3332053.pdf,3332053,Wet,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10139027,2934,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining,0,34934,0,N,10-164732
685,"""(47.61854012600003, -122.33983235199997)""",111455,111455,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33513400.bmp,0,,,0,,05/18/2010 07:00:00 AM +0000,5/18/2010 13:30,1,29512,At Intersection (intersection related),Daylight,BELL ST AND DENNY WAY,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3326861.pdf,3326861,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10138007,8529,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,23480,0,N,10-163211
709,"""(47.599238971000034, -122.308967844)""",111724,111724,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\31187700.bmp,0,,,0,,02/10/2010 08:00:00 AM +0000,2/10/2010 8:08,1,30752,At Intersection (intersection related),Daylight,18TH AVE S AND S JACKSON ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3329477.pdf,3329477,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10041005,2592,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,11040,0,N,2010-4678
726,"""(47.57273191500008, -122.33433870999994)""",112007,112007,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11511300.bmp,363.5,,,0,,06/24/2010 07:00:00 AM +0000,6/24/2010 17:15,0,,Mid-Block (not related to intersection),Daylight,1ST WR AVE S BETWEEN S HINDS ST AND S SPOKANE NR ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3332235.pdf,3332235,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10175014,1212,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,0,N,2010-214881
728,"""(47.65551366400007, -122.37361083699994)""",111587,111587,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\00180000.bmp,0,NEI,"Not Enough Information, or Insufficient Location Information",0,,05/08/2010 07:00:00 AM +0000,5/8/2010 12:22,1,26726,At Intersection (intersection related),Unknown,13TH AVE W AND W NICKERSON ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3330272.pdf,3330272,Unknown,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10128032,1839,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Unknown,0,12549,0,N,2010-155245
755,"""(47.623109801000055, -122.31465385899998)""",112409,112409,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11517700.bmp,0,,,0,,08/06/2010 07:00:00 AM +0000,8/6/2010 15:18,0,29013,At Intersection (intersection related),Daylight,14TH AVE E AND E REPUBLICAN ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3332033.pdf,3332033,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10218027,1860,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,0,N,10-273084
837,"""(47.72316551600005, -122.32891834799995)""",111466,111466,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\75517700.bmp,0, ,,0,,08/08/2010 07:00:00 AM +0000,8/8/2010 9:36,1,35969,At Intersection (intersection related),Daylight,1ST AVE NE AND NE 130TH ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3333661.pdf,3333661,Wet,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10220015,1106,1,2b,Serious Injury Collision,,45,Bicycle,Matched,N,1,Raining,0,0,524136,N,2010-275401
847,"""(47.60729905800008, -122.33708679799997)""",111602,111602,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\44512200.bmp,0,,,0,,06/18/2010 07:00:00 AM +0000,6/18/2010 22:49,1,29603,At Intersection (intersection related),Dark - Street Lights On,2ND AVE AND UNIVERSITY ST,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\2793748.pdf,2793748,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10169039,2756,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,12166,0,N,10-208429
882,"""(47.60436137100004, -122.31999365599995)""",112284,112284,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33512900.bmp,143.5,,,0,,06/09/2010 07:00:00 AM +0000,6/9/2010 14:20,1,,Mid-Block (not related to intersection),Daylight,E ALDER ST BETWEEN BOREN AVE AND 10TH AVE,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3332238.pdf,3332238,Wet,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10160040,13774,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining,0,0,0,N,10-222290
919,"""(47.61120737300007, -122.33759198199999)""",112555,112555,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\88646871.bmp,0, ,,0,,05/02/2010 07:00:00 AM +0000,5/2/2010 14:04,1,29579,At Intersection (intersection related),Daylight,4TH AVE AND PINE ST,1,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3200692.pdf,3200692,Dry,64,PEDALCYCLIST STRUCK PEDESTRIAN,10122004,6133,0,2,Injury Collision,,45,Bicycle,Matched,N,0,Clear or Partly Cloudy,0,12761,521865,N,2010-142888
971,"""(47.67578869100004, -122.28087630899995)""",111877,111877,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\31187170.bmp,0,,,0,,12/10/2010 08:00:00 AM +0000,12/10/2010 8:41,1,24981,At Intersection (intersection related),Daylight,44TH AVE NE AND NE 65TH ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3562078.pdf,3562078,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10344004,6695,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,0,N,10-425080
1041,"""(47.608873380000034, -122.32624962899996)""",110671,110671,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\66512100.bmp,0,,,0,,10/23/2010 07:00:00 AM +0000,10/23/2010 21:02,1,29924,At Intersection (intersection related),Dark - Street Lights On,MADISON ST AND TERRY AVE,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3346116.pdf,3346116,Wet,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10296034,11591,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining,0,22742,0,N,10-371178
1069,"""(47.54924358000005, -122.31689513899994)""",111077,111077,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\22188871.bmp,0,,,0,,12/21/2010 08:00:00 AM +0000,12/21/2010 14:15,1,33118,At Intersection (intersection related),Daylight,AIRPORT WAY S AND S VALE ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3331708.pdf,3331708,Wet,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10355009,8696,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Overcast,0,0,0,N,2010-438765
1088,"""(47.53888304000003, -122.28346561699999)""",111481,111481,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11183907.bmp,316.5,,,0,,01/06/2010 08:00:00 AM +0000,1/6/2010 18:08,1,,Driveway Junction,Dark - Street Lights On,S MYRTLE ST BETWEEN 38TH AVE S AND M L KING JR WR WAY S,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3343969.pdf,3343969,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10006020,20914,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,0,N,16-Oct
1092,"""(47.59959343600008, -122.33000949799998)""",111479,111479,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\80181900.bmp,166.5,,,0,,06/01/2010 07:00:00 AM +0000,6/1/2010 19:08,0,,Mid-Block (not related to intersection),Dusk,2ND AV ET S BETWEEN S JACKSON ST AND S MAIN ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3346154.pdf,3346154,Wet,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10152031,2924,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Overcast,0,35929,0,N,10-182985
1095,"""(47.66134675500007, -122.32564536499996)""",111213,111213,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11513300.bmp,132,,,0,,07/29/2010 07:00:00 AM +0000,7/29/2010 15:58,1,,Mid-Block (not related to intersection),Daylight,NE 45TH ST BETWEEN THACKERAY PL NE AND LATONA AVE NE,0,1,Y,3,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\2881318.pdf,2881318,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10210026,16840,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,6540,0,N,2010-262077
1141,"""(47.68872885700006, -122.37546004999996)""",112436,112436,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77185770.bmp,0,,,0,,01/13/2010 08:00:00 AM +0000,1/13/2010 20:00,1,24119,At Intersection (intersection related),Dark - No Street Lights,MARY AVE NW AND NW 83RD ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3327873.pdf,3327873,Wet,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10013044,11684,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining,0,0,0,N,2010-16702
1175,"""(47.70857741100008, -122.32056130299998)""",110544,110544,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11187571.bmp,0, ,,0,,05/01/2010 07:00:00 AM +0000,5/1/2010 17:30,1,36500,At Intersection (intersection related),Daylight,8TH AVE NE AND NE NORTHGATE WAY,0,1,,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3376237.pdf,3376237,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10121001,8358,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,521317,N,2010-142009
1197,"""(47.624569963000056, -122.35148741499995)""",111352,111352,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33513100.bmp,0,,,0,,09/16/2010 07:00:00 AM +0000,9/16/2010 18:21,1,28916,At Intersection (intersection related),Daylight,3RD AVE N AND MERCER ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3208695.pdf,3208695,Wet,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10259004,4397,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Raining,0,12365,0,N,10-325205
1204,"""(47.65964495000003, -122.32828717399997)""",110817,110817,Block,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\22515500.bmp,221,,,0,,05/10/2010 07:00:00 AM +0000,5/10/2010 18:08,1,,Mid-Block (but intersection related),Daylight,1ST AVE NE BETWEEN NE 43RD ST AND NE 44TH ST,0,1,,3,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3333636.pdf,3333636,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10130005,1065,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,0,N,10-153160
1215,"""(47.61521815300006, -122.32680418799998)""",110813,110813,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77517800.bmp,0,,,0,,04/20/2010 07:00:00 AM +0000,4/20/2010 13:43,1,29862,At Intersection (intersection related),Daylight,BELLEVUE AVE AND E PINE ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3207750.pdf,3207750,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10110017,9213,0,2,Injury Collision,Y,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,10342,0,N,2010-128641
1233,"""(47.68983593300004, -122.35260226899999)""",111893,111893,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77515500.bmp,0, ,,0,,08/04/2010 07:00:00 AM +0000,8/4/2010 18:47,1,24265,At Intersection (intersection related),Dusk,DAYTON AVE N AND N 84TH ST,0,1,,4,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3377015.pdf,3377015,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10216031,9926,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,0,0,N,10-270540
1355,"""(47.71219944600006, -122.31790869199995)""",112042,112042,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\17185500.bmp,0,,,0,,12/31/2010 08:00:00 AM +0000,12/31/2010 15:18,0,36480,At Intersection (intersection related),Daylight,ROOSEVELT WAY NE AND NE 115TH ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3375113.pdf,3375113,Dry,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",10365027,12659,0,1,Property Damage Only Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,33858,0,N,10-448130
1442,"""(47.603514430000075, -122.30765932999998)""",110833,110833,Intersection,Cycles,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11517700.bmp,0,,,0,,06/13/2010 07:00:00 AM +0000,6/13/2010 17:35,1,30213,At Intersection (intersection related),Daylight,19TH AVE AND E SPRUCE ST,0,1,Y,2,\\sdotnasvfa\sdot_vol1\H8\PROD\ATTACHMENTS\COL_REPORT\3332085.pdf,3332085,Dry,51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,10164004,2642,0,2,Injury Collision,,45,Bicycle,Matched,N,1,Clear or Partly Cloudy,0,8651,0,N,10-199769
